FID	IID	T10	T11	T12
1001	1002	0.12995118401213585	0.5243537760910675	-0.0037074565053746254
1004	1005	0.3569944999078841	0.3961825066149881	0.026793876621605924
854	855	0.16512867206892662	0.55624973108893	0.032505476348635855
857	858	0.3249819739224122	0.43984711330052645	0.0038162661824623
856	857	0.21800954054961766	0.6429938561173664	0.00587265574805825
853	854	0.1549861899052089	0.6753306632330304	0.008476361569282893
859	860	0.12726984461539387	0.6797095415911563	0.005333623831772882
1002	1003	0.1298806327663134	0.6846044007417366	0.05982584724074222
858	859	0.3128469174398432	0.24143625935152194	0.023696415743164827
855	856	0.3755653937524762	0.2871740728881064	0.03229563045584081
987	988	0.17584725854255576	0.5520815865519891	0.024079465329535813
1000	1001	0.1557744617715423	0.7015134890383236	0.03941778128739036
1003	1004	0.28155738799552654	0.5728274590113595	0.03317752697640519
860	861	0.3691937086683191	0.352988837008926	-0.005580260027231424
861	862	0.22955092520085163	0.46491073267039873	0.05931055411876501
864	865	0.37568065749488855	0.3415796072301285	0.011070705926306577
803	804	0.03097509387816064	0.8879410204701379	0.021077831830876918
1006	1007	0.1316862115185968	0.7505644890360058	-0.0034690727864461982
802	803	0.08204941325895172	0.7974876072522735	0.019496393940235928
891	892	0.5263161869635374	0.2330337927310724	-0.0010375907245644342
1007	1008	0.16045595769531187	0.45072872332370245	0.006047770107371166
863	864	0.2745907904331065	0.4278987840572399	7.564623459853197e-05
804	805	0.3205686333042119	0.30519376572675044	0.020737486123402215
1005	1006	0.12620498393870724	0.41471197208948796	0.08198598532051915
890	891	0.17746834011083604	0.6066239811103995	0.07695255260942425
808	809	0.4682771793270306	0.2908086426089411	0.0057544453347547955
893	894	0.18697424620201372	0.6458041721167133	0.04705098661830982
1012	1013	0.09967410975348244	0.6214681287570463	0.015526245135649278
809	810	0.5396845436020408	0.2646651131053423	0.05470363727532363
892	893	0.2926334199166703	0.4630874521112085	0.033981771815451096
1014	1015	0.08768344695488926	0.7441944365075109	0.032965087675227246
1009	1010	0.18692021403423098	0.4578293145294587	0.009953791884072333
806	807	0.299230274792434	0.42308851983329054	-0.011237396405858184
807	808	0.10939199421630541	0.5452603163506341	0.10451855061110601
1011	1012	0.12216461783339845	0.7709772407748999	0.01188938124364584
1008	1009	0.25929490849326015	0.5410930052651793	0.055683036819953485
805	806	0.31851638673449945	0.3452465987117902	0.023083333466718498
1010	1011	0.1886681901060424	0.4088000974585381	-0.0012394928316520832
896	897	0.3567232129879129	0.4066066892025686	0.039472263118796806
894	895	0.04500517366332345	0.9099539127070804	0.010934436902183209
1021	1022	0.5006829062736522	0.2162874785743301	0.061342498868362044
1016	1017	0.3417724507318095	0.10046371823264266	-0.008853751025389506
