FID	IID	T24	T25	T26	T53
892	893	0.5801834486106019	0.41981655138939805	0.06683396847137744	0.5801834486106019
893	894	0.43646883318379825	0.5635311668162015	0.13453752985935089	0.43646883318379825
1008	1009	0.4218326336012035	0.5781673663987964	0.01975060351636729	0.4218326336012035
809	810	0.20753078305341335	0.7924692169465867	0.2708653799812468	0.20753078305341335
1015	1016	0.4202232595125709	0.5797767404874291	0.2006846526989364	0.4202232595125709
901	902	0.5302911885920821	0.46970881140791776	0.2544329469140429	0.5302911885920821
1016	1017	0.4275544359298268	0.5724455640701731	0.1497269570611652	0.4275544359298268
899	900	0.014489505973582744	0.9855104940264173	0.17644806066665228	0.014489505973582744
896	897	0.5826793691523513	0.4173206308476487	0.2695227212134489	0.5826793691523513
1018	1019	0.11725465939254559	0.8827453406074541	0.28972220205949073	0.11725465939254559
1019	1020	0.8414920351468332	0.15850796485316673	0.3709042274257156	0.8414920351468332
1027	1028	0.2415587117287307	0.758441288271269	0.3329342366044408	0.2415587117287307
1032	1033	0.4093724024171493	0.5906275975828504	0.2126721678435116	0.4093724024171493
1026	1027	0.41907414467732085	0.5809258553226789	0.20583877010816595	0.41907414467732085
1031	1032	0.11432202280828552	0.8856779771917145	0.22523458045018938	0.11432202280828552
1030	1031	0.3458073607875187	0.6541926392124813	0.18301524875243932	0.3458073607875187
902	903	0.19201307475752125	0.8079869252424786	0.1829463732346968	0.19201307475752125
1025	1026	0.3198320988223858	0.6801679011776143	0.09363975935063039	0.3198320988223858
1024	1025	0.5075840415968736	0.49241595840312646	0.16714602268097134	0.5075840415968736
904	905	0.21431114713013846	0.7856888528698616	0.4260602616062141	0.21431114713013846
1029	1030	0.17845332011427206	0.8215466798857282	0.36064001886784275	0.17845332011427206
1028	1029	0.26027427831774386	0.7397257216822561	-0.0542774709420043	0.26027427831774386
1033	1034	0.11237175966377615	0.887628240336224	0.47873559371608004	0.11237175966377615
905	906	0.3331837387225634	0.6668162612774367	0.43298857706730337	0.3331837387225634
